Date,Payee,Category,Memo,Outflow,Inflow
23/08/2017,INT DOC 237330600003131 ,,,2360.0,
23/08/2017,Rendimento,,,,0.21
24/08/2017,Transfer : [Dinheiro]  Carteira,,,100.0,
24/08/2017,Rendimento,,,,0.01
25/08/2017,Kebab Paris,Alimentação: Comer fora de casa,,20.0,
25/08/2017,Pão de Açúcar,Alimentação: Comer em casa,,35.88,
25/08/2017,Salário,,,,6848.58
25/08/2017,Vale Transporte,,,,152.0
28/08/2017,Frango Assado,Alimentação: Comer fora de casa,,22.5,
28/08/2017,Conveniência Graal,Alimentação: Comer fora de casa,,12.9,
28/08/2017,Rendimento,,,,0.02
29/08/2017,Ticket Metrô,Transporte: Público,,100.0,
29/08/2017,INT  PAG TIT BANCO 399  ,,,511.32,
29/08/2017,Rendimento,,,,0.38
30/08/2017,Academia de jogos,Hobbies: Dentro de casa,,8.0,
30/08/2017,Academia de jogos,Hobbies: Dentro de casa,,90.0,
30/08/2017,Soho,Saúde: Farmácia,,82.0,
30/08/2017,Semparar,Transporte: Carlos Sueli,,13.61,
30/08/2017,Rendimento,,,,0.13
31/08/2017,Coffe Lab,Alimentação: Comer fora de casa,,18.15,
31/08/2017,Rendimento,,,,0.01
01/09/2017,CARTAO PERSONNALITE     ,,,801.95,
01/09/2017,CARTAO PERSONNALITE     ,,,72.76,
01/09/2017,Rendimento,,,,0.61
04/09/2017,Lanche de Pernil CEAGESP,Alimentação: Comer fora de casa,,50.0,
04/09/2017,Leroy Merlin,Recorrentes: Contas Exporádicas,,219.6,
04/09/2017,Estacionamento,Transporte: Carlos Sueli,,10.0,
04/09/2017,Cantinho Mineiro Paranapiacaba,Alimentação: Comer fora de casa,,59.0,
04/09/2017,The Pitchers,Alimentação: Comer fora de casa,,52.5,
04/09/2017,Transfer : [Dividas] Daniel,,Luz 09/2017,110.31,
04/09/2017,Eletropaulo,Recorrentes: Contas Variáveis,,110.32,
04/09/2017,Rendimento,,,,0.45
05/09/2017,TBI 0041.56313-1     C/C,,,65.0,
05/09/2017,Rendimento,,,,0.05
08/09/2017,Transfer : [Dinheiro]  Carteira,,,100.0,
08/09/2017,Coffee Corner,Alimentação: Comer fora de casa,,21.9,
08/09/2017,Drogasil,Saúde: Farmácia,,74.76,
08/09/2017,Lamen Açu,Alimentação: Comer fora de casa,,36.75,
08/09/2017,Leroy Merlin,Recorrentes: Contas Exporádicas,,5.0,
08/09/2017,Ticket Metrô,Transporte: Público,,100.0,
08/09/2017,DOC INT 715745          ,,,200.0,
08/09/2017,DOC INT 724740          ,,,18.0,
08/09/2017,DOC INT 725176          ,,,15.5,
08/09/2017,DEVDOC725176 08/09 MOT53,,,,15.5
08/09/2017,Rendimento,,,,0.06
11/09/2017,Cobasi,Hobbies: Dentro de casa,,33.99,
11/09/2017,Conveniência Graal,Alimentação: Comer fora de casa,,3.5,
11/09/2017,Esfirraria Olé,Alimentação: Comer fora de casa,,24.0,
11/09/2017,Gasolina,Transporte: Carlos Sueli,,72.0,
11/09/2017,Pousada Parque Ecológico,Planos Futuros: Férias,,65.0,
11/09/2017,Rendimento,,,,0.01
13/09/2017,Esfirraria Olé,Alimentação: Comer fora de casa,,43.0,
13/09/2017,Jardinagem Guarani,Hobbies: Dentro de casa,,6.5,
13/09/2017,TBI 0251.93673-8     C/C,,,100.0,
13/09/2017,Rendimento,,,,0.01
18/09/2017,Choperia Liberdade,Hobbies: Fora de casa,,58.45,
18/09/2017,Choperia Liberdade,Hobbies: Fora de casa,,33.55,
18/09/2017,Rendimento,,,,0.01
19/09/2017,RSHOP-PAGSEGUROUO-19/09 ,,,5.0,
20/09/2017,Brasileirinho,Alimentação: Comer fora de casa,,27.49,
20/09/2017,Rendimento,,,,0.02
21/09/2017,Brasileirinho,Alimentação: Comer fora de casa,,20.49,
21/09/2017,VIVO,Recorrentes: Contas Variáveis,,232.93,
21/09/2017,Rendimento,,,,0.14
22/09/2017,Passagem Rodoviária,Transporte: Público,,93.9,
22/09/2017,Conveniência Graal,Alimentação: Comer fora de casa,,6.9,
22/09/2017,PLR,,,,8309.35
25/09/2017,Padaria Imperial,Alimentação: Comer fora de casa,,20.8,
25/09/2017,Brasileirinho,Alimentação: Comer fora de casa,,28.49,
25/09/2017,Taxi,Transporte: Público,,35.0,
25/09/2017,Bar Urca,Alimentação: Comer fora de casa,,44.92,
25/09/2017,Ticket Metrô,Transporte: Público,,100.0,
25/09/2017,Conveniência Graal,Alimentação: Comer fora de casa,,6.5,
25/09/2017,Quiosque Copacabana,Alimentação: Comer fora de casa,,49.39,
25/09/2017,Rendimento,,,,0.17
27/09/2017,Salário,,,,6886.36
27/09/2017,Vale Transporte,,,,159.6
29/09/2017,Lojas Americanas,Recorrentes: Contas Exporádicas,,41.98,
29/09/2017,Rendimento,,,,0.03
30/09/2017,Dai Kin,Alimentação: Comer em casa,,7.2,
