Date,Payee,Category,Memo,Outflow,Inflow
27/09/2017,Salário,,,,580.83
27/09/2017,Salário,,,,15.55
26/09/2017,Pão de Açúcar,Alimentação: Comer em casa,,156.26,
23/09/2017,Extra,Alimentação: Comer em casa,,66.64,
23/09/2017,Extra,Alimentação: Comer em casa,,7.08,
13/09/2017,Mercadinho Belize,Alimentação: Comer em casa,,7.80,
10/09/2017,Delícia de Perdizes,Alimentação: Comer fora de casa,,19.90,
09/09/2017,Padaria Pão Caseiro,Alimentação: Comer em casa,,15.80,
08/09/2017,Mercadinho Belize,Alimentação: Comer em casa,,42.40,
