Date,Payee,Category,Memo,Outflow,Inflow
31/10/2017,Komezushi,Alimentação: Comer no trabalho,,36.02,
31/10/2017,Cantina Itaú,Alimentação: Comer no trabalho,,12.15,
30/10/2017,Massinha,Alimentação: Comer no trabalho,,25.40,
30/10/2017,Cantina Itaú,Alimentação: Comer no trabalho,,12.15,
29/10/2017,Restaurante Friends,Alimentação: Comer fora de casa,,40.09,
28/10/2017,Guanabara,Alimentação: Comer fora de casa,,33.50,
27/10/2017,Salário,,,,737.00
27/10/2017,Maria Escaleira,Alimentação: Comer fora de casa,,57.31,
23/10/2017,Momiji,Alimentação: Comer no trabalho,,67.09,
20/10/2017,Pura Gula,Alimentação: Comer no trabalho,,20.11,
20/10/2017,Qiloon,Alimentação: Comer no trabalho,,11.50,
19/10/2017,Komezushi,Alimentação: Comer no trabalho,,35.70,
19/10/2017,Polska 295,Alimentação: Comer fora de casa,,35.20,
19/10/2017,Cantina Itaú,Alimentação: Comer no trabalho,,10.10,
