Date,Payee,Category,Memo,Outflow,Inflow
02/10/2017,Banca do Jo,Hobbies: Dentro de casa,,10.0,
02/10/2017,Center Castilho,Hobbies: Dentro de casa,,62.21,
02/10/2017,Dai Kin,Alimentação: Comer em casa,,7.2,
02/10/2017,Pastel da Feira,Alimentação: Comer fora de casa,,10.0,
02/10/2017,INT  PAG TIT BANCO 237  ,,,3102.89,
02/10/2017,CARTAO PERSONNALITE     ,,,573.8,
02/10/2017,CARTAO PERSONNALITE     ,,,49.48,
02/10/2017,Semparar,Transporte: Carlos Sueli,,13.61,
02/10/2017,Rendimento,,,,2.45
04/10/2017,Transfer : [Dividas] Daniel,,Luz 10/2017,132.5,
04/10/2017,Eletropaulo,Recorrentes: Contas Variáveis,,132.5,
04/10/2017,Rendimento,,,,0.18
05/10/2017,Pitico,Alimentação: Comer fora de casa,,63.8,
05/10/2017,Rendimento,,,,0.04
06/10/2017,Transfer : [Dinheiro]  Carteira,,,150.0,
06/10/2017,Rendimento,,,,0.11
09/10/2017,Coffee Corner,Alimentação: Comer fora de casa,,166.0,
09/10/2017,Casa Raw,Alimentação: Comer fora de casa,,51.7,
09/10/2017,Dai Kin,Alimentação: Comer em casa,,18.75,
09/10/2017,Daiso,Recorrentes: Contas Exporádicas,,7.99,
09/10/2017,Padaria Pães e Doces,Alimentação: Comer em casa,,13.99,
09/10/2017,Caldo de Cana da Feira,Alimentação: Comer fora de casa,,12.0,
09/10/2017,Rendimento,,,,0.21
10/10/2017,Ticket Metrô,Transporte: Público,,100.0,
10/10/2017,Rendimento,,,,0.07
11/10/2017,Transfer : [Dinheiro]  Carteira,,,150.0,
11/10/2017,Rendimento,,,,0.12
13/10/2017,Padaria Júlia,Alimentação: Comer no trabalho,,20.94,
13/10/2017,New Kebabel,Alimentação: Comer fora de casa,,34.1,
13/10/2017,The Pitchers,Alimentação: Comer fora de casa,,32.0,
13/10/2017,IR,Recorrentes: Impostos,,,255.23
13/10/2017,Rendimento,,,,0.07
16/10/2017,BH Lanches,Alimentação: Comer fora de casa,,14.0,
16/10/2017,Center Castilho,Hobbies: Dentro de casa,,27.55,
16/10/2017,Choperia Liberdade,Hobbies: Fora de casa,,30.55,
16/10/2017,Kebab Paris,Alimentação: Comer fora de casa,,20.8,
16/10/2017,Lanche de Pernil CEAGESP,Alimentação: Comer fora de casa,,33.0,
16/10/2017,Padaria Pão Casiero,Alimentação: Comer em casa,,19.9,
16/10/2017,Pizza no Pé,Alimentação: Comer fora de casa,,16.85,
17/10/2017,Center Castilho,Hobbies: Dentro de casa,,34.97,
19/10/2017,Lavanderia ,,,65.0,
20/10/2017,Dai Kin,Alimentação: Comer em casa,,19.85,
20/10/2017,Drogasil,Saúde: Farmácia,,59.91,
20/10/2017,Passagem Rodoviária,Transporte: Público,,48.8,
20/10/2017,RSHOP-6845 - GRSA-20/10 ,,,31.5,
20/10/2017,Rendimento,,,,0.16
23/10/2017,Conveniência Graal,Alimentação: Comer fora de casa,,24.5,
23/10/2017,Bobs,Alimentação: Comer fora de casa,,31.5,
23/10/2017,Hotel Juliana Patos de Minas,Planos Futuros: Férias,,57.5,
23/10/2017,Restaurante Minha casa,Alimentação: Comer fora de casa,,26.45,
23/10/2017,VIVO,Recorrentes: Contas Variáveis,,231.35,
23/10/2017,Rendimento,,,,0.36
24/10/2017,Escola de Música,Alimentação: Comer no trabalho,,25.65,
24/10/2017,Esfirraria Olé,Alimentação: Comer fora de casa,,30.0,
24/10/2017,Ticket Metrô,Transporte: Público,,100.0,
24/10/2017,INT  PAG TIT BANCO 237  ,,,2820.81,
24/10/2017,Rendimento,,,,2.23
25/10/2017,Padaria Arcadas,Alimentação: Comer fora de casa,,2.7,
25/10/2017,Restaurante Shanghai,Alimentação: Comer fora de casa,,44.99,
25/10/2017,Rendimento,,,,0.03
26/10/2017,Sukiya,Alimentação: Comer fora de casa,,17.0,
