Date,Payee,Category,Memo,Outflow,Inflow
29/09/2017,Vibá,Alimentação: Comer no trabalho,,26.86,
29/09/2017,Mexcla,Alimentação: Comer fora de casa,,23.90,
29/09/2017,Máquina FLFC,Alimentação: Comer no trabalho,,3.00,
28/09/2017,Bottled Dog,Alimentação: Comer no trabalho,,46.09,
28/09/2017,Brasileirinho,Alimentação: Comer fora de casa,,18.98,
27/09/2017,Salário,,,,737.00
27/09/2017,Ventana,Alimentação: Comer no trabalho,,31.35,
27/09/2017,Salário,,,,19.80
26/09/2017,Coquinha,Alimentação: Comer no trabalho,,29.76,
26/09/2017,Kopenhagen,Alimentação: Comer fora de casa,,12.00,
25/09/2017,Mit,Alimentação: Comer no trabalho,,29.67,
24/09/2017,Osnir,Alimentação: Comer fora de casa,,24.90,
22/09/2017,Mit,Alimentação: Comer no trabalho,,36.50,
22/09/2017,Conveniência Graal,Alimentação: Comer fora de casa,,8.50,
21/09/2017,Tutto Infamiglia,Alimentação: Comer no trabalho,,12.00,
21/09/2017,Cantina Itaú,Alimentação: Comer no trabalho,,7.20,
21/09/2017,Cantina Itaú,Alimentação: Comer no trabalho,,2.90,
20/09/2017,Massinha,Alimentação: Comer no trabalho,,29.00,
19/09/2017,Kebab Paris,Alimentação: Comer fora de casa,,55.55,
19/09/2017,Massinha,Alimentação: Comer no trabalho,,26.80,
18/09/2017,Komezushi,Alimentação: Comer no trabalho,,31.15,
16/09/2017,Sukiya,Alimentação: Comer fora de casa,,19.00,
15/09/2017,Habib's,Alimentação: Comer fora de casa,,41.81,
15/09/2017,Cantina Itaú,Alimentação: Comer no trabalho,,7.20,
14/09/2017,Coquinha,Alimentação: Comer no trabalho,,18.43,
14/09/2017,Cantina Itaú,Alimentação: Comer no trabalho,,7.20,
13/09/2017,Magia de Minas,Alimentação: Comer no trabalho,,33.80,
12/09/2017,Mit,Alimentação: Comer no trabalho,,28.75,
11/09/2017,Escola de Música,Alimentação: Comer no trabalho,,27.50,
10/09/2017,Samosa & Company,Alimentação: Comer fora de casa,,58.30,
08/09/2017,Charme da Conceicao,Alimentação: Comer no trabalho,,23.50,
08/09/2017,Cantina Itaú,Alimentação: Comer no trabalho,,7.20,
07/09/2017,Latife Center 3,Alimentação: Comer fora de casa,,37.64,
07/09/2017,Real Pizzaria,Alimentação: Comer fora de casa,,33.66,
06/09/2017,Nacho Libre,Alimentação: Comer fora de casa,,41.03,
06/09/2017,Kaipei,Alimentação: Comer no trabalho,,35.05,
06/09/2017,Máquina FLFC,Alimentação: Comer no trabalho,,4.50,
05/09/2017,Tutto Infamiglia,Alimentação: Comer no trabalho,,21.50,
04/09/2017,Mit,Alimentação: Comer no trabalho,,28.75,
03/09/2017,Padaria Pão Caseiro,Alimentação: Comer em casa,,5.00,
01/09/2017,San Paolo,Alimentação: Comer no trabalho,,29.90,
